Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
GRK7	10	-0.035971	-0.49467	0.69264	0.87648	0.62084	0.99951	-0.12177	-1.6749	0.096427	0.29297	0.093952	0.37308	0.18927	2.5961	0.4025	0.72055	0.009429	0.083753
SBF1	10	0.093701	1.2803	0.025829	0.16129	0.20045	0.99473	0.13717	1.8747	0.034869	0.15028	0.060838	0.29196	0.022627	0.30844	0.66509	0.87486	0.75775	0.89809
TLK1	10	-0.017036	-0.25404	0.99699	0.99914	0.79947	0.99951	-0.0726	-1.0832	0.31037	0.55454	0.2787	0.65996	0.13039	1.9357	0.69049	0.88193	0.052905	0.22264
ILK	10	-0.29476	-3.0153	0	0	0.0025677	0.074559	-0.54087	-5.5298	0	0	3.206e-08	1.5199e-06	-0.14837	-1.5074	0.054671	0.30166	0.1317	0.37084
MURC	10	-0.15108	-1.2767	0.015497	0.11429	0.20171	0.99473	-0.27233	-2.3031	0.00043048	0.0039526	0.021274	0.14583	0.15819	1.3256	0.53853	0.79732	0.18496	0.44479
SPR	10	-0.051971	-0.69546	0.47137	0.74543	0.48677	0.99951	0.080019	1.072	0.23117	0.47861	0.28374	0.66733	-0.17969	-2.3876	0.028842	0.21683	0.01696	0.11622
PPP2CA	8	-0.17359	-1.2741	0.0081791	0.068345	0.20262	0.99473	-0.22101	-1.6228	0.0081791	0.054286	0.10464	0.3959	-0.071087	-0.51992	0.29057	0.65344	0.60312	0.81549
SLC7A1	10	-0.048224	-0.79257	0.51786	0.77165	0.42803	0.99951	-0.087068	-1.4311	0.21954	0.46279	0.15241	0.48399	-0.0095762	-0.15723	0.47826	0.76621	0.87506	0.9558
CHRFAM7A	10	-0.088194	-1.1055	0.15669	0.43489	0.26896	0.99951	-0.11318	-1.4194	0.11408	0.31851	0.15577	0.48959	-0.17491	-2.1792	0.031425	0.22393	0.029315	0.16368
P4HB	10	-0.069975	-1.0034	0.28067	0.58318	0.31568	0.99951	-0.076435	-1.0962	0.28325	0.52936	0.27298	0.6529	-0.017682	-0.25299	0.44167	0.74709	0.80028	0.91995
CERK	10	0.022665	0.18642	0.44296	0.72721	0.85212	0.99951	0.069381	0.57074	0.29272	0.53712	0.56817	0.84914	0.078512	0.64478	0.99699	0.99785	0.51907	0.76519
KCNJ3	10	0.02825	0.31145	0.37365	0.66924	0.75546	0.99951	0.070861	0.78252	0.28153	0.52861	0.43391	0.77417	-0.10341	-1.1253	0.1313	0.45727	0.26046	0.53133
HSD17B7	10	-0.28456	-2.8473	0	0	0.004409	0.11255	-0.55633	-5.5657	0	0	2.6111e-08	1.3186e-06	-0.049819	-0.49793	0.30564	0.66698	0.61853	0.82219
RETSAT	10	-0.099561	-1.1684	0.11063	0.37409	0.24266	0.99951	-0.13393	-1.5724	0.070598	0.24047	0.11586	0.42451	0.20503	2.3995	0.33448	0.6786	0.016419	0.11454
PGK2	10	0.0068755	0.093319	0.65949	0.8612	0.92565	0.99951	-0.03849	-0.52253	0.58071	0.77977	0.6013	0.86937	-0.1222	-1.652	0.095566	0.39502	0.098536	0.31709
MTNR1B	10	-0.048429	-0.81817	0.51442	0.77027	0.41326	0.99951	-0.059445	-1.0045	0.40422	0.65073	0.31516	0.69725	-0.0010721	-0.01808	0.52002	0.78391	0.98558	0.99245
SERPINB3	10	0.047444	0.97997	0.19673	0.48982	0.3271	0.99951	0.092402	1.9096	0.16616	0.40104	0.056191	0.2801	-0.028736	-0.59093	0.38915	0.71115	0.55457	0.78889
TAOK3	10	0.036716	0.77205	0.28928	0.59469	0.44009	0.99951	0.1386	2.9156	0.034008	0.14878	0.0035498	0.034794	-0.09854	-2.0645	0.1412	0.47194	0.038966	0.19204
KCNN3	10	-0.014168	-0.2056	0.9591	0.98934	0.8371	0.99951	0.050862	0.73816	0.43823	0.68185	0.46041	0.78556	-0.10127	-1.4681	0.13517	0.46244	0.14208	0.38467
SLC13A2	10	-0.12507	-1.4547	0.0452	0.23282	0.14576	0.9287	-0.11312	-1.3163	0.11408	0.31851	0.18806	0.55009	-0.013548	-0.15696	0.46276	0.76025	0.87528	0.9558
TUB	10	0.031799	0.41965	0.33147	0.62806	0.67474	0.99951	0.045014	0.59481	0.4873	0.7235	0.55197	0.84074	0.0070284	0.092039	0.56565	0.81111	0.92667	0.97714
STYK1	10	0.045943	0.54624	0.20921	0.50051	0.5849	0.99951	0.032501	0.38646	0.60956	0.79195	0.69915	0.90886	0.038298	0.45465	0.75678	0.90876	0.64936	0.83943
CDC25B	10	-0.17913	-1.6126	0.0043048	0.042373	0.10683	0.84125	-0.23386	-2.1057	0.0030133	0.023569	0.035235	0.20361	0.10074	0.90543	0.86182	0.9382	0.36524	0.64591
AK2	10	-0.11667	-0.63987	0.064141	0.29045	0.52225	0.99951	-0.17746	-0.97394	0.020232	0.10284	0.33009	0.70813	0.44005	2.4088	0.0094705	0.11957	0.016007	0.11268
MTMR7	10	0.090132	1.662	0.034008	0.19363	0.096516	0.81653	0.14322	2.6413	0.027551	0.13142	0.0082596	0.068143	0.011248	0.20706	0.59148	0.82466	0.83596	0.94085
AKAP8L	10	-0.026228	-0.30497	0.839	0.93432	0.76039	0.99951	-0.0098832	-0.11494	0.88721	0.94067	0.9085	0.96942	-0.22238	-2.5789	0.009901	0.12042	0.0099106	0.084641
ARPC1B	10	-0.077781	-0.78396	0.21524	0.50607	0.43306	0.99951	-0.039546	-0.39869	0.57081	0.77183	0.69012	0.90728	0.042079	0.42331	0.78089	0.91616	0.67207	0.85173
SIRT3	10	-0.079106	-0.98492	0.20964	0.50051	0.32466	0.99951	-0.024979	-0.3111	0.71201	0.84836	0.75572	0.93241	0.022653	0.28151	0.66552	0.87493	0.77832	0.90856
PTGER4	10	-0.042581	-0.35938	0.59836	0.822	0.71931	0.99951	-0.03498	-0.29536	0.61515	0.79511	0.76772	0.93241	0.05558	0.46749	0.85149	0.93682	0.64015	0.83743
DUSP3	10	0.020708	0.38655	0.46233	0.73814	0.69909	0.99951	0.090343	1.6867	0.1765	0.41498	0.09167	0.36906	-0.14714	-2.7427	0.057684	0.31604	0.006094	0.062918
HIPK1	10	-0.060732	-0.56117	0.37322	0.66898	0.57468	0.99951	-0.06534	-0.60443	0.36074	0.60797	0.54556	0.83929	0.069783	0.64132	0.94318	0.97683	0.52132	0.76671
BCKDK	10	-0.091295	-0.73109	0.13904	0.40349	0.46473	0.99951	0.011825	0.094898	0.84546	0.92467	0.9244	0.97741	-0.0076673	-0.060878	0.48644	0.76975	0.95146	0.98735
UQCRQ	10	-0.18604	-2.1644	0.0034438	0.036866	0.030435	0.45613	-0.42793	-4.9772	0	0	6.4525e-07	1.9466e-05	-0.0026702	-0.031004	0.5127	0.78309	0.97527	0.99105
GALK2	10	-0.025839	-0.26348	0.84589	0.93705	0.79218	0.99951	0.067057	0.68514	0.30951	0.55454	0.49326	0.80595	0.13143	1.3303	0.68532	0.88148	0.18342	0.442
CLEC3B	10	-0.14661	-1.8294	0.018941	0.13253	0.067343	0.71914	-0.20983	-2.6192	0.0073181	0.050746	0.0088126	0.07183	-0.045638	-0.56707	0.322	0.67524	0.57066	0.79623
MTR	10	0.001894	0.032064	0.74171	0.89693	0.97442	0.99951	0.031477	0.5331	0.62032	0.79657	0.59396	0.86808	-0.022565	-0.38071	0.42015	0.73328	0.70342	0.8701
PPA1	10	-0.1827	-1.6707	0.0038743	0.038961	0.094789	0.81653	-0.48544	-4.4328	0	0	9.3029e-06	0.00020387	0.05017	0.4552	0.82824	0.93586	0.64897	0.83939
ADCK2	10	-0.0063847	-0.10522	0.85536	0.94349	0.9162	0.99951	-0.0087217	-0.14373	0.90013	0.95007	0.88571	0.96209	-0.072396	-1.1928	0.22385	0.58231	0.23294	0.50432
DLD	10	-0.022639	-0.18263	0.90271	0.96458	0.85509	0.99951	-0.11611	-0.93744	0.10805	0.30798	0.34853	0.72202	-0.144	-1.1505	0.061989	0.3236	0.24992	0.52538
MLKL	10	-0.048302	-0.30856	0.51528	0.77027	0.75766	0.99951	-0.10404	-0.66521	0.14464	0.36883	0.50592	0.81506	0.31338	1.9928	0.08093	0.37037	0.046282	0.20836
SNRK	10	0.014717	0.21161	0.54326	0.79521	0.83241	0.99951	0.037902	0.54513	0.55704	0.76627	0.58567	0.86162	-0.030103	-0.43169	0.38399	0.70728	0.66597	0.84723
CLPP	10	-0.095047	-1.5378	0.12656	0.39044	0.12409	0.87962	-0.1356	-2.196	0.068876	0.23916	0.028094	0.1788	-0.24008	-3.8508	0.0060267	0.08589	0.00011772	0.0038517
TSTA3	10	0.0032313	0.035087	0.71933	0.88741	0.97201	0.99951	-0.094265	-1.0237	0.18338	0.42277	0.30596	0.68744	0.21651	2.3455	0.29746	0.66251	0.018999	0.12538
FAH	10	-0.036336	-0.52151	0.6892	0.87582	0.60201	0.99951	0.076227	1.0955	0.24882	0.49828	0.27331	0.6529	-0.30748	-4.3689	0.00043048	0.011494	1.2488e-05	0.00070758
STYXL1	10	-0.071859	-0.83728	0.26388	0.5655	0.40244	0.99951	-0.094559	-1.1022	0.18209	0.42173	0.27036	0.65261	0.12269	1.4249	0.73526	0.90227	0.15417	0.40377
EEA1	10	-0.020887	-0.17006	0.93198	0.97919	0.86496	0.99951	-0.0045678	-0.03727	0.95136	0.97443	0.97027	0.99229	-0.036956	-0.29675	0.35557	0.68891	0.76666	0.90111
PANK4	10	-0.054844	-0.64925	0.43909	0.72392	0.51618	0.99951	-0.073756	-0.87323	0.3022	0.54673	0.38254	0.73776	-0.005427	-0.064152	0.49677	0.77763	0.94885	0.98577
LTK	10	-0.033113	-0.46901	0.73396	0.89314	0.63906	0.99951	-0.054937	-0.77822	0.43564	0.68078	0.43644	0.77452	-0.042321	-0.59845	0.33534	0.67913	0.54954	0.78559
BLK	10	-0.022059	-0.29405	0.91046	0.97018	0.76872	0.99951	-0.024194	-0.32256	0.71847	0.8524	0.74703	0.92949	-0.056808	-0.75593	0.27335	0.63627	0.44969	0.71796
TPSB2	10	0.0044119	0.065587	0.69867	0.87648	0.94771	0.99951	0.066967	0.99565	0.30994	0.55454	0.31942	0.70057	-0.086308	-1.2815	0.17607	0.52102	0.20002	0.46512
LGSN	10	-0.069127	-0.8295	0.29057	0.59629	0.40682	0.99951	-0.067584	-0.81197	0.34223	0.58672	0.41681	0.76508	-0.088153	-1.0484	0.17219	0.52083	0.29446	0.57027
PTPN14	10	0.16806	1.2305	0	0	0.21852	0.99951	0.41765	3.0605	0	0	0.0022094	0.024325	0.088463	0.64479	0.93069	0.973	0.51906	0.76519
GSTO2	10	-0.077972	-1.8126	0.21309	0.50254	0.069893	0.72871	-0.078653	-1.8285	0.27034	0.52073	0.067477	0.30856	0.01334	0.30999	0.60267	0.83008	0.75657	0.89746
DDR1	10	0.005315	0.11519	0.68317	0.87294	0.90829	0.99951	0.043466	0.94223	0.50452	0.73221	0.34608	0.72123	-0.14593	-3.156	0.058975	0.3186	0.0015993	0.024282
ACP5	10	-0.031479	-0.38719	0.76195	0.90542	0.69862	0.99951	0.033536	0.41295	0.59836	0.786	0.67964	0.90373	-0.30719	-3.7345	0.00043048	0.011494	0.00018811	0.0054839
PTPN21	10	0.0025998	0.014298	0.72966	0.89305	0.98859	0.99951	-0.011856	-0.065264	0.86741	0.92989	0.94796	0.98292	0.19632	1.0743	0.37193	0.70016	0.28271	0.55508
ADORA2B	10	0.038053	0.59869	0.27637	0.57786	0.54938	0.99951	0.065385	1.0288	0.32028	0.55982	0.30356	0.68648	-0.057956	-0.91041	0.27034	0.63563	0.3626	0.64464
ROCK2	10	0.017591	0.18925	0.50323	0.76371	0.8499	0.99951	-0.0030946	-0.03332	0.96728	0.98466	0.97342	0.99289	0.073422	0.78469	0.96944	0.98902	0.43264	0.70368
PHKG1	10	-0.11017	-1.5318	0.080069	0.32404	0.12557	0.87962	-0.098497	-1.3706	0.16573	0.40104	0.17051	0.52059	-0.07352	-1.0165	0.22084	0.57835	0.30937	0.5862
PSTPIP2	10	-0.094418	-0.74987	0.12785	0.3913	0.45333	0.99951	-0.082452	-0.65518	0.24709	0.49826	0.51235	0.82026	0.17619	1.3957	0.45975	0.75798	0.16282	0.41336
LARS2	10	-0.0022278	-0.021161	0.79122	0.91551	0.98312	0.99951	-0.0056053	-0.053288	0.93758	0.96886	0.9575	0.98769	0.061657	0.58215	0.89109	0.95436	0.56046	0.79098
PPP4R1	10	0.13072	1.5312	0.0021524	0.025	0.12571	0.87962	0.16254	1.9048	0.012914	0.076923	0.056805	0.2801	0.0087186	0.10194	0.57426	0.81441	0.91881	0.97267
PPP1R14C	10	-0.071808	-0.63329	0.26388	0.5655	0.52654	0.99951	-0.1183	-1.0436	0.1003	0.29569	0.29668	0.68372	0.30365	2.6747	0.096427	0.39646	0.0074787	0.070622
PAK7	10	0.0037435	0.040007	0.71201	0.88449	0.96809	0.99951	-0.014554	-0.1556	0.83685	0.91915	0.87635	0.96119	0.072524	0.77264	0.9604	0.98325	0.43973	0.70938
PHOSPHO1	10	-0.085392	-1.1109	0.17004	0.45246	0.26661	0.99951	-0.027934	-0.36353	0.68145	0.8358	0.71621	0.91646	-0.10391	-1.348	0.12914	0.45386	0.17767	0.43354
OGFOD2	10	-0.056319	-0.59945	0.42531	0.71542	0.54887	0.99951	-0.026434	-0.28143	0.69867	0.84205	0.77838	0.93508	-0.07525	-0.79901	0.21653	0.57452	0.42428	0.70024
MAPK15	10	-0.086175	-1.2746	0.16487	0.44691	0.20246	0.99473	-0.084102	-1.2442	0.24021	0.4899	0.21343	0.58535	-0.055584	-0.82034	0.28024	0.64265	0.41202	0.69221
GLT6D1	10	0.032672	0.43482	0.32716	0.6249	0.66369	0.99951	0.12581	1.6777	0.055101	0.20847	0.09341	0.37156	0.013423	0.17722	0.6031	0.83008	0.85934	0.95467
C1QA	10	-0.09362	-0.80416	0.12957	0.39295	0.4213	0.99951	-0.26687	-2.2923	0.00086096	0.0074349	0.021889	0.14912	0.30151	2.5886	0.09901	0.4014	0.0096372	0.084641
EPOR	10	-0.081121	-0.76841	0.19845	0.4899	0.44224	0.99951	-0.16712	-1.5834	0.02712	0.13071	0.11333	0.41788	0.10153	0.95886	0.85751	0.93785	0.33763	0.61952
SERPINA1	10	-0.0035889	-0.042952	0.81317	0.91946	0.96574	0.99951	0.049733	0.59522	0.44511	0.68796	0.5517	0.84074	0.037695	0.45093	0.75291	0.90857	0.65204	0.8405
PDE11A	10	0.062947	0.50978	0.11192	0.37518	0.6102	0.99951	0.13599	1.1027	0.03616	0.15441	0.27015	0.65261	-0.0476	-0.3828	0.31597	0.67455	0.70187	0.86945
RDH8	10	-0.0075655	-0.12022	0.8687	0.95054	0.90431	0.99951	-0.035141	-0.5586	0.61343	0.79443	0.57644	0.85508	-0.080053	-1.2663	0.19759	0.54567	0.2054	0.47328
MAP3K15	10	0.074868	0.84782	0.068015	0.29868	0.39654	0.99951	0.10154	1.1507	0.12312	0.33568	0.24986	0.62953	0.1141	1.2865	0.77873	0.91616	0.19826	0.46442
GPRC5A	10	-0.030135	-0.17325	0.77873	0.90959	0.86246	0.99951	0.0072468	0.041751	0.89841	0.9495	0.9667	0.99124	0.03511	0.20017	0.73956	0.90326	0.84135	0.94418
UPP1	10	0.080423	1.1246	0.054671	0.26186	0.26076	0.99951	0.094525	1.3224	0.15583	0.38552	0.18603	0.54786	-0.048507	-0.6747	0.30951	0.66884	0.49987	0.75109
PRKCI	10	-0.022066	-0.24809	0.91046	0.97018	0.80406	0.99951	-0.029844	-0.33582	0.65992	0.82419	0.73701	0.92289	-0.055662	-0.62135	0.27981	0.64229	0.53437	0.77572
IP6K2	10	-0.13072	-1.5708	0.03573	0.19809	0.11624	0.86435	-0.13916	-1.6739	0.061989	0.22222	0.094142	0.3732	0.12784	1.5281	0.70684	0.89142	0.12649	0.36321
HCK	10	-0.065522	-0.93654	0.31855	0.61718	0.34899	0.99951	-0.025328	-0.3623	0.70943	0.84833	0.71713	0.91646	-0.19297	-2.7404	0.023676	0.20599	0.0061363	0.063074
NARS2	10	-0.13637	-1.3673	0.028842	0.17539	0.17153	0.98381	-0.36388	-3.6477	0	0	0.00026457	0.0038898	-0.0021571	-0.021576	0.51571	0.7838	0.98279	0.99245
CAPN1	10	-0.064353	-1.0362	0.33362	0.62906	0.30009	0.99951	-0.075304	-1.2134	0.29143	0.53712	0.22497	0.60292	-0.11994	-1.918	0.098149	0.4007	0.055111	0.22902
TPTE	10	-0.054992	-0.40994	0.43823	0.72353	0.68185	0.99951	-0.1176	-0.87724	0.10288	0.30025	0.38036	0.73776	0.0093208	0.068954	0.57899	0.81713	0.94503	0.98559
CDC42BPG	10	-0.090714	-0.97226	0.14249	0.40864	0.33092	0.99951	-0.014053	-0.1507	0.84029	0.92075	0.88021	0.96119	-0.10716	-1.1438	0.12398	0.4479	0.2527	0.52634
PPEF2	10	-0.035647	-0.41715	0.6978	0.87648	0.67657	0.99951	-0.048057	-0.56273	0.48988	0.72363	0.57362	0.85199	0.035136	0.4092	0.73956	0.90326	0.68239	0.85686
TFF2	10	-0.033197	-0.43076	0.73267	0.89314	0.66664	0.99951	-0.0719	-0.93332	0.31296	0.55454	0.35065	0.72289	0.052808	0.68261	0.84158	0.93682	0.49485	0.74742
PGLYRP3	10	0.059637	0.82569	0.13	0.39323	0.40898	0.99951	0.12311	1.705	0.059836	0.21821	0.088198	0.36071	-0.14202	-1.9602	0.063711	0.32527	0.049972	0.21735
ACVR1C	10	0.0036816	0.058593	0.7133	0.88468	0.95328	0.99951	0.031356	0.49943	0.62075	0.79669	0.61747	0.87623	-0.091377	-1.4456	0.161	0.50609	0.14829	0.3937
CHRM4	10	-0.099047	-1.0439	0.11279	0.37536	0.29652	0.99951	-0.071909	-0.75871	0.31296	0.55454	0.44803	0.77902	0.07832	0.82118	0.99828	0.99828	0.41155	0.69221
PTK6	10	-0.13503	-1.1324	0.030564	0.17884	0.25745	0.99951	-0.1874	-1.5728	0.015497	0.086331	0.11578	0.42451	0.10634	0.88762	0.82867	0.93586	0.37475	0.65802
SCYL1	10	-0.13047	-1.6349	0.03573	0.19809	0.10207	0.83243	-0.20076	-2.516	0.0094705	0.060606	0.011871	0.091616	0.013434	0.16808	0.60353	0.83008	0.86652	0.9558
CTDP1	10	-0.37532	-3.4452	0	0	0.00057066	0.028818	-0.60329	-5.5353	0	0	3.1071e-08	1.5098e-06	-0.33772	-3.0756	0	0	0.0021005	0.029219
MAPK8IP2	10	-0.094989	-0.85087	0.12656	0.39044	0.39484	0.99951	-0.097613	-0.87444	0.16875	0.40538	0.38188	0.73776	0.20553	1.8401	0.33362	0.6786	0.065755	0.25322
DRD2	10	0.038579	0.36806	0.27421	0.57786	0.71283	0.99951	0.1418	1.3533	0.029703	0.13636	0.17597	0.52951	-0.082045	-0.78065	0.19242	0.54426	0.43501	0.70518
IL2RB	10	0.032855	0.40764	0.32372	0.61995	0.68354	0.99951	0.078645	0.97689	0.23633	0.48498	0.32862	0.7075	-0.21051	-2.5793	0.014636	0.15888	0.0098999	0.084641
RARRES1	10	-0.0076263	-0.081528	0.87043	0.95198	0.93502	0.99951	-0.047262	-0.50549	0.49634	0.72854	0.61321	0.87499	0.12217	1.3008	0.7387	0.90326	0.19334	0.45874
DUSP11	10	-0.050027	-0.57857	0.49419	0.75926	0.56288	0.99951	0.045962	0.53281	0.47568	0.71382	0.59417	0.86808	-0.20517	-2.3414	0.01808	0.18565	0.019211	0.12562
PTPN18	10	-0.081971	-1.015	0.19156	0.48108	0.31012	0.99951	-0.017043	-0.21109	0.80973	0.90607	0.83282	0.95402	-0.25209	-3.1109	0.0051657	0.082759	0.001865	0.02691
PTPN6	10	-0.082286	-0.9392	0.18941	0.47983	0.34763	0.99951	-0.063246	-0.72221	0.37409	0.61983	0.47017	0.79286	0.043875	0.49933	0.79122	0.91754	0.61755	0.82219
VARS	10	-0.70914	-4.9742	0	0	6.5519e-07	0.0003044	-0.96389	-6.7567	0	0	1.4118e-11	3.2795e-09	-0.72642	-5.044	0	0	4.5596e-07	5.296e-05
SUOX	10	-0.072006	-1.2185	0.26345	0.5655	0.22302	0.99951	-0.037539	-0.6354	0.58846	0.78204	0.52517	0.82722	-0.13916	-2.3496	0.066294	0.33121	0.018792	0.12508
SLCO2B1	10	-0.030685	-0.49593	0.77099	0.9078	0.61995	0.99951	-0.061449	-0.99327	0.39001	0.63694	0.32058	0.70057	-0.14092	-2.2724	0.064572	0.32823	0.023063	0.13973
TLK2	10	-0.063688	-0.42061	0.34094	0.63871	0.67404	0.99951	-0.021123	-0.13977	0.75893	0.88018	0.88884	0.96209	0.070052	0.45889	0.94361	0.97683	0.64632	0.83915
DAO	10	-0.01602	-0.18785	0.98536	0.99652	0.85099	0.99951	0.030151	0.35363	0.63668	0.80776	0.72362	0.91706	-0.20153	-2.3582	0.018941	0.18565	0.018364	0.12329
YES1	10	0.0625	1.058	0.11451	0.37588	0.29006	0.99951	0.075289	1.2748	0.25441	0.50513	0.20238	0.57089	-0.0048386	-0.081681	0.49978	0.77867	0.9349	0.98159
TPD52L3	10	-0.096277	-1.2768	0.12269	0.38649	0.20167	0.99473	-0.15697	-2.0831	0.037021	0.15665	0.03724	0.21195	-0.013991	-0.18434	0.46018	0.75816	0.85375	0.95077
PPP2R4	10	-0.095144	-1.3686	0.12613	0.39044	0.17111	0.98381	-0.35083	-5.0458	0	0	4.5172e-07	1.5208e-05	0.045907	0.65946	0.8037	0.92217	0.5096	0.75884
CHRM5	10	0.077585	1.3003	0.061128	0.27953	0.19349	0.99473	0.12218	2.0481	0.061558	0.22205	0.040547	0.22187	-0.28891	-4.8261	0.00086096	0.02	1.3922e-06	0.00011913
CSNK2A1	10	-0.096713	-1.064	0.1201	0.38536	0.28732	0.99951	-0.1289	-1.4183	0.078777	0.25559	0.1561	0.48959	0.06687	0.73469	0.92596	0.97023	0.46253	0.72795
PPP2R3B	10	-0.081979	-0.60348	0.19156	0.48108	0.54619	0.99951	-0.13316	-0.98088	0.071459	0.24234	0.32665	0.70575	0.14053	1.0301	0.62979	0.85058	0.30296	0.58116
BRSK2	10	-0.079098	-0.58307	0.20964	0.50051	0.55985	0.99951	-0.0058677	-0.043308	0.93543	0.96796	0.96546	0.99124	-0.013863	-0.1016	0.46147	0.75921	0.91907	0.97267
LIAS	10	-0.29046	-1.9272	0	0	0.053957	0.6461	-0.54627	-3.6217	0	0	0.00029269	0.0042762	-0.16856	-1.1088	0.035299	0.23988	0.26752	0.53758
LYN	10	0.036214	0.34401	0.29574	0.59843	0.73084	0.99951	0.030403	0.28887	0.63366	0.80525	0.77268	0.93241	0.25395	2.4097	0.19113	0.54412	0.015967	0.11268
PPAP2B	10	0.046969	0.46413	0.20017	0.49258	0.64256	0.99951	0.015725	0.1555	0.79983	0.90063	0.87643	0.96119	-0.016598	-0.16299	0.4477	0.75054	0.87052	0.9558
NDUFV3	10	0.042275	0.66594	0.23676	0.53391	0.50545	0.99951	0.052986	0.8348	0.41929	0.6653	0.40383	0.75592	0.031363	0.49322	0.71761	0.89672	0.62186	0.82362
EIF2AK3	10	0.055664	0.62397	0.14981	0.42201	0.53265	0.99951	0.05616	0.6299	0.3926	0.63866	0.52876	0.82802	0.086066	0.96047	0.94748	0.97866	0.33682	0.61852
CHRM2	10	0.096511	1.7553	0.023246	0.15211	0.079203	0.76537	0.13581	2.4708	0.03616	0.15441	0.013482	0.10135	-0.066367	-1.2032	0.24451	0.60684	0.22891	0.50165
CPO	10	0.0022155	0.021396	0.73396	0.89314	0.98293	0.99951	-0.089669	-0.86676	0.20405	0.44507	0.38607	0.74059	0.21096	2.0197	0.31855	0.67455	0.043414	0.20321
SLC6A2	10	-0.046905	-0.56706	0.53638	0.78861	0.57067	0.99951	-0.028354	-0.34299	0.67499	0.83139	0.7316	0.92039	-0.016083	-0.19352	0.44942	0.75054	0.84655	0.94773
CDC25A	10	-0.018953	-0.20283	0.96685	0.9903	0.83926	0.99951	-0.034681	-0.37124	0.61774	0.79634	0.71046	0.91454	-0.028421	-0.30338	0.39087	0.7116	0.7616	0.89969
PRKCDBP	10	0.0029949	0.031953	0.72492	0.89053	0.97451	0.99951	0.10927	1.1661	0.09901	0.29449	0.24358	0.62067	0.18858	2.0094	0.40508	0.72163	0.044493	0.20548
DSTN	10	-0.17048	-2.1234	0.0051657	0.047809	0.033718	0.49263	-0.18229	-2.2714	0.01765	0.095128	0.023121	0.15545	-0.03848	-0.47765	0.35127	0.68677	0.6329	0.83299
ACP2	10	-0.083242	-0.98828	0.18467	0.47195	0.32301	0.99951	-0.078974	-0.93768	0.26819	0.51784	0.34841	0.72202	-0.11113	-1.318	0.11494	0.42926	0.1875	0.44884
ATP6V1C1	10	-0.45351	-3.6919	0	0	0.00022261	0.01567	-0.72666	-5.9113	0	0	3.394e-09	2.5433e-07	-0.38148	-3.0844	0	0	0.0020398	0.028545
EPHB6	10	0.035684	0.45607	0.3009	0.60103	0.64834	0.99951	0.092525	1.183	0.16616	0.40104	0.23681	0.61327	-0.1409	-1.7938	0.064572	0.32823	0.072852	0.26838
GAA	10	0.045373	0.62121	0.21309	0.50254	0.53446	0.99951	0.059299	0.81228	0.37021	0.61632	0.41663	0.76508	0.0087263	0.11897	0.57426	0.81441	0.9053	0.96871
PPP1R11	10	-0.32916	-2.9776	0	0	0.0029053	0.082304	-0.61244	-5.5346	0	0	3.1197e-08	1.5098e-06	-0.18406	-1.6518	0.02712	0.21356	0.098585	0.31709
CACNA1C	10	-0.037659	-0.46504	0.66509	0.8612	0.6419	0.99951	-0.044434	-0.54886	0.5183	0.74138	0.5831	0.86057	0.09446	1.164	0.89453	0.95638	0.24443	0.5192
FADS1	10	-0.032314	-0.3318	0.74989	0.90217	0.74004	0.99951	-0.079725	-0.8188	0.26345	0.51342	0.4129	0.76185	0.16687	1.7098	0.50452	0.78081	0.087309	0.29869
UBC	10	-0.042796	-0.73055	0.59664	0.82158	0.46505	0.99951	0.0046978	0.080205	0.92768	0.96593	0.93607	0.98035	-0.12384	-2.1109	0.091692	0.39011	0.034785	0.18111
ABCC2	10	-0.0014336	-0.01943	0.78175	0.90959	0.9845	0.99951	-0.019286	-0.26143	0.77873	0.88987	0.79376	0.93885	0.029945	0.40531	0.71115	0.89346	0.68525	0.8586
MTM1	10	0.085423	0.80859	0.043048	0.22779	0.41875	0.99951	0.18059	1.7109	0.0077486	0.052023	0.087098	0.3581	-0.012795	-0.12036	0.46535	0.76087	0.9042	0.96871
OBSCN	10	0.025312	0.35309	0.41154	0.70644	0.72402	0.99951	0.14644	2.0445	0.025398	0.12447	0.040908	0.22307	-0.26144	-3.6212	0.0047353	0.08209	0.00029326	0.0076178
STK38L	10	-0.028416	-0.27049	0.80499	0.91946	0.78678	0.99951	0.040857	0.38967	0.52906	0.74894	0.69678	0.90886	0.26828	2.5408	0.15712	0.50206	0.011061	0.088603
ADORA3	10	0.0085505	0.12373	0.63323	0.84833	0.90153	0.99951	0.037167	0.53786	0.5622	0.76716	0.59068	0.86477	-0.22092	-3.1915	0.009901	0.12042	0.0014156	0.022678
PTPLB	10	-0.14796	-1.3702	0.016789	0.12112	0.17063	0.98357	-0.25003	-2.3155	0.0012914	0.010714	0.020586	0.14318	0.17402	1.6093	0.46922	0.76098	0.10755	0.32794
