Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
RNASE4	10	0.1595	1.6722	0.11322	0.79758	0.094476	0.74663
OTC	10	-0.038434	-0.34743	0.6991	0.9961	0.72827	0.97983
CASP7	10	-0.018406	-0.192	0.84675	0.9961	0.84774	0.99498
SMPD4	10	-0.12968	-1.4321	0.21481	0.91577	0.15213	0.82859
TOP1MT	10	-0.15799	-1.4437	0.13302	0.83288	0.14882	0.82859
LEPREL1	10	0.0090978	0.10412	0.95222	0.9965	0.91707	0.99649
CA6	10	-0.050989	-0.68477	0.61558	0.9961	0.49349	0.93351
TAAR1	10	0.080412	0.99769	0.43521	0.9961	0.31843	0.90162
LYZ	10	-0.053614	-0.41561	0.60224	0.9961	0.67769	0.97862
NME7	10	-0.062125	-0.83468	0.54455	0.9961	0.4039	0.92978
DUSP7	10	-0.091568	-0.894	0.38442	0.9961	0.37132	0.91352
CTH	10	0.013871	0.13796	0.90788	0.9965	0.89027	0.99498
RAB7A	10	-0.01442	-0.11103	0.87	0.9961	0.91159	0.99649
KRT7	10	0.06137	0.51196	0.55532	0.9961	0.60868	0.95959
MYO3A	10	-0.1392	-1.2402	0.18424	0.87247	0.21491	0.86446
ODC1	10	0.09357	0.73675	0.36677	0.9961	0.46128	0.92978
STK38	10	-0.091175	-0.87858	0.38614	0.9961	0.37963	0.91671
GLP1R	10	0.02595	0.48599	0.81317	0.9961	0.62697	0.96319
CNR2	10	0.014905	0.12833	0.89884	0.9965	0.89789	0.99649
ARF4	10	-0.19059	-1.8987	0.076625	0.77637	0.057602	0.70695
MARK2	10	0.12077	1.1057	0.23289	0.93437	0.26886	0.87832
ALPK3	10	-0.082149	-0.88717	0.43564	0.9961	0.37499	0.91352
SLC12A1	10	0.015782	0.18491	0.89066	0.9965	0.8533	0.99498
PNPO	10	-0.064553	-0.47159	0.53035	0.9961	0.63722	0.96319
RAMP1	10	-0.0031707	-0.034452	0.95652	0.9965	0.97252	0.99869
SFTPD	10	0.17383	1.9059	0.084804	0.77817	0.056662	0.70695
EPHB3	10	-0.018735	-0.18878	0.8446	0.9961	0.85026	0.99498
MAP3K19	10	0.076269	0.74832	0.4576	0.9961	0.45426	0.92978
PCYT1A	10	-0.3023	-2.2235	0.0081791	0.38	0.026185	0.60225
EIF2AK2	10	0.19747	1.7689	0.052949	0.7069	0.076902	0.7382
NME5	10	0.18485	1.0961	0.065863	0.72857	0.27303	0.88582
WDSUB1	10	0.090122	0.64897	0.38226	0.9961	0.51636	0.94163
LCN2	10	0.047518	0.65161	0.65519	0.9961	0.51465	0.94163
DCPS	10	-0.18012	-1.1429	0.092983	0.77817	0.25308	0.87765
C3	10	-0.151	-1.4253	0.15024	0.85854	0.15406	0.82859
PTPRB	10	-0.038659	-0.37967	0.69737	0.9961	0.70419	0.97862
KCND2	10	0.081016	0.66285	0.43263	0.9961	0.50743	0.93849
ZC3HC1	10	0.066911	0.54073	0.51657	0.9961	0.58869	0.95942
CTDSP1	10	0.03208	0.30854	0.76238	0.9961	0.75767	0.97983
KARS	10	-0.30675	-2.5164	0.0064572	0.34884	0.011856	0.50142
LMTK2	10	-0.10638	-0.92816	0.30736	0.98795	0.35332	0.90592
ACVR2A	10	0.11601	0.76456	0.25613	0.95305	0.44453	0.92978
AASS	10	-0.013227	-0.13453	0.87817	0.9961	0.89298	0.99498
SMS	10	0.015056	0.16643	0.89798	0.9965	0.86782	0.99498
NAGK	10	0.041866	0.50839	0.69608	0.9961	0.61118	0.95959
NEK1	10	-0.074122	-0.86331	0.47955	0.9961	0.38797	0.92685
BDH1	10	0.18899	1.9881	0.065002	0.72857	0.046802	0.68378
NRBP1	10	-0.16303	-1.8165	0.12226	0.81143	0.069299	0.71075
HIF1AN	10	0.0065149	0.071074	0.96944	0.9965	0.94334	0.99709
GLRX	10	-0.17466	-2.1913	0.1003	0.78477	0.028427	0.61705
HRSP12	10	0.10794	1.0288	0.29402	0.98166	0.30356	0.90162
MAN2A1	10	-0.22967	-1.8359	0.035299	0.63235	0.066369	0.70695
CCT3	10	-0.34165	-2.3767	0.0025829	0.17647	0.017468	0.54153
MAP2K5	10	0.035351	0.32357	0.73913	0.9961	0.74626	0.97983
HLA-DQA2	10	-0.24865	-2.3788	0.024537	0.6	0.017368	0.54153
SIRPA	10	-0.015429	-0.13471	0.86354	0.9961	0.89284	0.99498
ITK	10	0.091606	0.74993	0.37581	0.9961	0.4533	0.92978
MUSK	10	-0.26278	-2.1911	0.01808	0.55844	0.028447	0.61705
PIP4K2B	10	0.19968	1.6464	0.051227	0.68786	0.099689	0.75284
PPP1R8	10	-0.15238	-1.0757	0.14679	0.8525	0.28204	0.89262
CTRB1	10	0.059581	0.64066	0.56565	0.9961	0.52174	0.94221
TEK	10	-0.050426	-0.46288	0.61946	0.9961	0.64345	0.96531
SULT1B1	10	-0.054114	-0.56364	0.60009	0.9961	0.573	0.95942
RIPK2	10	0.28425	1.2965	0.0060267	0.33333	0.19479	0.84727
CHRNA10	10	0.13287	0.76364	0.18812	0.87723	0.44508	0.92978
SAR1B	10	-0.080075	-0.66635	0.44641	0.9961	0.50519	0.93809
SLC25A29	10	-0.11272	-1.3624	0.2768	0.96692	0.17307	0.82859
TNNI3K	10	-0.10115	-0.72381	0.33319	0.9961	0.46918	0.92978
CD55	10	-0.079445	-0.79801	0.45028	0.9961	0.42486	0.92978
ENOPH1	10	-0.057553	-0.59134	0.57081	0.9961	0.5543	0.95942
PTPRN	10	0.0074911	0.086593	0.96384	0.9965	0.931	0.99649
STK31	10	-0.067073	-0.64575	0.51614	0.9961	0.51844	0.94163
STK19	10	0.049784	0.63072	0.64184	0.9961	0.52823	0.94535
HK2	10	-0.11049	-1.4039	0.29014	0.98166	0.16033	0.82859
MARK4	10	0.048622	0.39004	0.64916	0.9961	0.69651	0.97862
ANXA5	10	0.062483	0.72979	0.54585	0.9961	0.46552	0.92978
NUDT9	10	0.054195	0.64603	0.6074	0.9961	0.51826	0.94163
VAMP2	1	0.36243	1.1582	0.28067	0.97168	0.2468	0.87765
FLT3LG	10	-0.084244	-0.87984	0.42703	0.9961	0.37894	0.91671
PRSS8	10	-0.036129	-0.36786	0.71244	0.9961	0.71298	0.97983
SLC7A9	10	-0.11391	-1.4349	0.27163	0.96336	0.15133	0.82859
TP53RK	10	-0.041509	-0.30041	0.67714	0.9961	0.76386	0.97983
NID1	10	0.0373	0.42041	0.7232	0.9961	0.67419	0.97862
PI4KA	10	-0.22934	-1.5823	0.035299	0.63235	0.11359	0.78673
S100A11	10	0.042652	0.19495	0.68876	0.9961	0.84543	0.99498
CKMT1B	3	0.26559	1.4528	0.15411	0.86635	0.14629	0.82859
PASK	10	-0.05965	-0.50736	0.56048	0.9961	0.6119	0.95959
LMAN1	10	-0.017272	-0.1743	0.85321	0.9961	0.86163	0.99498
PIGA	10	-0.10797	-0.88847	0.29961	0.98166	0.37429	0.91352
SLC1A1	10	0.010755	0.11625	0.94275	0.9965	0.90745	0.99649
CIT	10	-0.03143	-0.39963	0.75291	0.9961	0.68943	0.97862
GPT2	10	0.11389	1.2364	0.26474	0.95497	0.21632	0.86446
CSNK1G1	10	0.02377	0.13984	0.83082	0.9961	0.88879	0.99498
PSMA2	11	0.35505	1.3415	0.0021524	0.16129	0.17976	0.83494
PPIC	10	-0.088753	-0.92365	0.40034	0.9961	0.35567	0.90745
FUK	10	-0.002038	-0.026328	0.9647	0.9965	0.979	0.99869
GLTP	10	-0.11002	-1.0571	0.29186	0.98166	0.29047	0.89459
TSSK6	10	-0.13968	-1.1451	0.18381	0.87247	0.25219	0.87765
PKIA	6	0.26175	1.8403	0.049935	0.68235	0.065724	0.70695
LGALS9	10	0.12695	1.3199	0.21093	0.91577	0.18686	0.84388
PRSS3	10	-0.087887	-0.80951	0.40465	0.9961	0.41822	0.92978
LATS2	10	0.13781	1.3317	0.17305	0.86809	0.18295	0.83494
MMP26	10	-0.24355	-2.7026	0.026259	0.61	0.0068799	0.48431
RPS6KB1	10	-0.039991	-0.37173	0.69178	0.9961	0.7101	0.97862
PKN2	10	0.20721	1.8992	0.041756	0.65772	0.057543	0.70695
S100A1	10	-0.13053	-1.6227	0.21136	0.91577	0.10466	0.76456
PPP2R1A	10	-0.30457	-2.1001	0.0081791	0.38	0.035721	0.66384
PLOD2	10	0.028487	0.23121	0.79079	0.9961	0.81715	0.98918
AK8	10	0.065899	0.72724	0.5226	0.9961	0.46708	0.92978
MAN1B1	10	-0.045277	-0.56625	0.65088	0.9961	0.57122	0.95942
SIGLEC1	10	0.045753	0.5754	0.66939	0.9961	0.56502	0.95942
SPRYD3	10	0.035079	0.50368	0.74171	0.9961	0.61448	0.95959
ALK	10	0.1783	1.4783	0.076625	0.77637	0.13934	0.82859
PLA2G7	10	-0.056099	-0.67584	0.5833	0.9961	0.49914	0.93464
CNKSR3	10	-0.11991	-1.2477	0.2458	0.94108	0.21213	0.86446
MAPK1	10	-0.13296	-1.37	0.20405	0.90979	0.17069	0.82859
PMP2	10	-0.0036351	-0.04027	0.95351	0.9965	0.96788	0.99869
PRKAB2	10	0.0012639	0.0093556	0.98838	0.99784	0.99254	1
GNGT1	10	0.017978	0.1532	0.87387	0.9961	0.87824	0.99498
ICK	10	0.012394	0.14677	0.92725	0.9965	0.88331	0.99498
RPS6KB2	10	-0.020116	-0.18578	0.83556	0.9961	0.85262	0.99498
CFTR	10	0.01925	0.18816	0.86612	0.9961	0.85075	0.99498
THNSL1	10	0.016218	0.17128	0.88894	0.9965	0.864	0.99498
HIPK3	10	-0.14824	-1.8137	0.15712	0.86696	0.069731	0.71075
HSPA5	10	0.073287	0.34885	0.47912	0.9961	0.7272	0.97983
NEU2	10	0.051453	0.49925	0.62893	0.9961	0.6176	0.96094
TH	10	0.056221	0.58962	0.58932	0.9961	0.55545	0.95942
PDGFRA	10	0.1613	1.5837	0.10891	0.79758	0.11327	0.78673
HMGCR	10	0.25598	1.3214	0.014206	0.50769	0.18638	0.84388
ADRB2	10	0.063741	0.47254	0.53551	0.9961	0.63654	0.96319
GLDC	10	-0.13199	-1.1435	0.20835	0.91577	0.25284	0.87765
KIDINS220	10	-0.04002	-0.36716	0.69178	0.9961	0.7135	0.97983
F13A1	10	-0.11234	-1.2645	0.28067	0.97168	0.20606	0.86343
GRK4	10	0.14101	1.461	0.16358	0.86696	0.14401	0.82859
NR1H2	10	-0.060964	-0.72035	0.55446	0.9961	0.47131	0.92978
GRIN1	10	-0.1692	-2.7379	0.11149	0.79758	0.006183	0.47992
GLRA2	10	-0.00606	-0.069418	0.93328	0.9965	0.94466	0.99709
CA10	10	0.065372	0.73113	0.52518	0.9961	0.4647	0.92978
PTDSS2	10	0.050467	0.50957	0.63539	0.9961	0.61035	0.95959
IDH3A	10	-0.14659	-1.6672	0.16229	0.86696	0.09548	0.74663
MASP2	10	-0.13041	-1.1036	0.21136	0.91577	0.26977	0.87832
NAPB	10	-0.034494	-0.2102	0.7288	0.9961	0.83351	0.99397
TPMT	10	-0.087308	-1.3407	0.40981	0.9961	0.18	0.83494
MMP24	10	-0.25545	-2.323	0.021524	0.57471	0.020177	0.55204
PPP1CB	10	-0.37051	-1.6677	0.0017219	0.16129	0.095375	0.74663
CDC42BPB	10	0.15629	1.6938	0.11924	0.80994	0.09031	0.74663
KDM5D	10	-0.0061947	-0.059291	0.93155	0.9965	0.95272	0.99869
FNTB	6	-0.21136	-1.5008	0.14077	0.84131	0.1334	0.82859
CAMLG	10	-0.088596	-0.88852	0.40121	0.9961	0.37426	0.91352
SNAP23	10	-0.23747	-1.3706	0.030564	0.62393	0.17051	0.82859
SOAT2	10	0.075608	1.0519	0.46276	0.9961	0.29286	0.89496
ME2	10	-0.12432	-1.113	0.23246	0.93426	0.26569	0.87765
GALE	10	0.013096	0.15319	0.91778	0.9965	0.87825	0.99498
PHPT1	10	-0.075191	-0.75063	0.4718	0.9961	0.45287	0.92978
PFN2	10	0.12475	0.91625	0.21653	0.91577	0.35954	0.9098
AHCY	10	-0.057964	-0.562	0.56952	0.9961	0.57412	0.95942
GPX6	10	-0.14724	-1.5241	0.16057	0.86696	0.12748	0.8237
BRSK1	10	0.085778	0.52164	0.4068	0.9961	0.60192	0.95942
PDF	6	-0.064863	-0.75786	0.62979	0.9961	0.44854	0.92978
SLC1A5	10	-0.21211	-2.4117	0.047353	0.67901	0.015878	0.54153
ME3	10	-0.063737	-0.88247	0.53551	0.9961	0.37752	0.91538
GSK3A	10	0.068361	0.44219	0.50624	0.9961	0.65835	0.972
OXSR1	10	-0.045469	-0.47883	0.65045	0.9961	0.63206	0.96319
GKAP1	10	-0.19575	-1.3581	0.067585	0.73709	0.17442	0.82859
C1QC	10	0.04462	0.42469	0.67628	0.9961	0.67107	0.97862
CDK15	10	0.013912	0.15737	0.90788	0.9965	0.87496	0.99498
CALM2	6	-0.2021	-1.2384	0.15669	0.86667	0.21556	0.86446
VKORC1	10	0.069933	0.26074	0.49978	0.9961	0.79429	0.98253
PTGR2	10	-0.19301	-0.62689	0.070598	0.75229	0.53073	0.94764
SGK3	1	0.017806	0.13579	0.99225	0.99784	0.89199	0.99498
NME1	2	0.10688	0.41162	0.64916	0.9961	0.68061	0.97862
PTPN20B	10	-0.65614	-1.2085	0	0	0.22684	0.87765
AMY1A	4	0.52126	1.737	0.0034438	0.22857	0.082379	0.7464
NEDD8-MDP1	10	0.52205	2.7805	0	0	0.0054281	0.47992
